date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:32:23 +0000 2017',942719186383572000,2931653187,b'Anthony tamer',b'@devnullius Mainstream at max',"{'type': 'Point', 'coordinates': [-0.31787231, 51.34826475]}"
b'Mon Dec 18 11:32:24 +0000 2017',942719192058523000,403917818,b'Reliquiae',"b'The handbag couture,inspired by master Cristobal Balenciaga\xe2\x80\x99s coat,its distinctive pattern, the soft precious leath\xe2\x80\xa6 https://t.co/JzpkQjgQmD'","{'type': 'Point', 'coordinates': [-0.15038, 51.5232]}"
b'Mon Dec 18 11:32:25 +0000 2017',942719196458356000,2156097473,b'Catalina',b'I am so blessed. \nI have the freedom to do what I love all day everyday.\nYes money is tight but I can create and that to me is blessed\xe2\x9c\xa8',"{'type': 'Point', 'coordinates': [-0.33740044, 51.40300747]}"
b'Mon Dec 18 11:32:26 +0000 2017',942719197683036000,2220547713,b'-',b'dsqrd hats are proooooooooooper nice like really really really nice',"{'type': 'Point', 'coordinates': [-0.12167629, 51.53485813]}"
b'Mon Dec 18 11:32:27 +0000 2017',942719202305232000,3373884857,b'Olivia Benson',b'@mrvans7 what a lad',"{'type': 'Point', 'coordinates': [-0.01289, 51.4993399]}"
b'Mon Dec 18 11:32:27 +0000 2017',942719203991310000,3997270067,"b""Dr Kevin O'Kane""","b'Er, was that a lot of good when practices are closing daily due to systemic underfunding &amp; doctor burn-out? Another\xe2\x80\xa6 https://t.co/63dizemOuC'","{'type': 'Point', 'coordinates': [-0.0936, 51.4544]}"
b'Mon Dec 18 11:32:31 +0000 2017',942719218012868000,387566558,b'suad',b'\xd8\xa8\xd9\x86\xd8\xaa\xd9\x8a \xd8\xad\xd8\xb5\xd9\x84 \xd9\x84\xd9\x87\xd8\xa7 \xd8\x8c\xd9\x88\xd8\xb2\xd8\xb1\xd8\xb9\xd9\x88\xd9\x87\xd8\xa7 \xd8\xb3\xd8\xa7\xd8\xb9\xd9\x87 \xd9\x88\xd9\x83\xd9\x84\xd9\x85\xd9\x86\xd8\xa7 \xd8\xad\xd9\x85\xd8\xa7\xd9\x8a\xd9\x87 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb3\xd8\xaa\xd9\x87\xd9\x84\xd9\x83 \xd9\x8a\xd8\xb1\xd8\xaf\xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd8\xb8\xd9\x81 \xd8\xa8\xd9\x83\xd9\x84 \xd8\xa8\xd8\xb1\xd9\x88\xd8\xaf \xd8\xa7\xd9\x8a \xd9\x8a\xd9\x85\xd9\x83\xd9\x86 \xd8\xb3\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x87 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x83\xd9\x87 \xd8\xac\xd8\xb0\xd9\x8a!\xd8\xb1\xd8\xaf\xd9\x8a\xd8\xaa:\xd9\x88\xd8\xb2\xd8\xa7\xd8\xb1\xd8\xaa\xd9\x83\xd9\x85 \xd8\xaa\xd8\xad\xd8\xb7 \xd9\x82\xd8\xa7\xd9\x86\xd9\x88\xd9\x86\xe2\x80\xa6 https://t.co/Z7Hp7Bstaq',"{'type': 'Point', 'coordinates': [-0.2087, 51.5056]}"
b'Mon Dec 18 11:32:32 +0000 2017',942719223578726000,1647634771,b'Eugene Cooke FCIPS',"b'@MaryKenny4 Hi Mary, considering myself Irish..over here amongst the working class English, my sense (finger in the\xe2\x80\xa6 https://t.co/IFhSmU11oO'","{'type': 'Point', 'coordinates': [-0.868497, 51.442078]}"
b'Mon Dec 18 11:32:36 +0000 2017',942719238770487000,821165240,b'Harry Illingworth',b'In a pre-Christmas depression. Please send cake and alcohol.',"{'type': 'Point', 'coordinates': [-0.15505, 51.518724]}"
b'Mon Dec 18 11:32:37 +0000 2017',942719243375792000,1441620050,b'BookwormTranslations',b'Urban #fox enjoying a drop of winter sun in Chiswick today :) #nofilter @ Emlyn Road https://t.co/9D9fUgBdTK',"{'type': 'Point', 'coordinates': [-0.75181246, 50.85991361]}"
