date,tweetid,userid,username,text,coordinates
b'Mon Dec 18 13:51:47 +0000 2017',9.42754E+17,226890976,b'Babusi',"b""I'll need that Solange tweet tatted""","{'type': 'Point', 'coordinates': [4.947557, 52.482676]}"
b'Mon Dec 18 13:51:50 +0000 2017',9.42754E+17,1166383453,b'Trendinalia NL',b'Trend Alert: #voltooidleven. More trends at https://t.co/tOVVBU3TJP #trndnl https://t.co/p90RgUymj6',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 13:51:59 +0000 2017',9.42754E+17,1901380195,b'Mr Downside \xe2\x9b\x84',"b'Literally almost broke his leg, straight fucking red https://t.co/7XnEYSzVSS'","{'type': 'Point', 'coordinates': [4.92274, 52.37668]}"
b'Mon Dec 18 13:52:03 +0000 2017',9.42754E+17,3375579785,b'BrugOpen',b'De Schipholdraaibrug tussen Nieuwe Meer en Schiphol-Oost is weer dicht. Zie https://t.co/kNtaHNwcIC #brugopen',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 13:52:04 +0000 2017',9.42754E+17,2448047358,b'Mafkont 68K',b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f#sinsational\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d#theme\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a#naughtychrismas\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/h1h28YRFqm',"{'type': 'Point', 'coordinates': [4.82609, 52.45896]}"
b'Mon Dec 18 13:52:09 +0000 2017',9.42754E+17,151179784,b'M. Scherbatsky',b'Eu to amando o sistema metrico daqui. Obrigada por usarem minimamente o SI',"{'type': 'Point', 'coordinates': [4.67032, 52.38472]}"
b'Mon Dec 18 13:52:16 +0000 2017',9.42754E+17,2448047358,b'Mafkont 68K',b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f#sinsational\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d#theme\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a#naughtychrismas\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/UmG0TTCwKK',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 13:52:29 +0000 2017',9.42754E+17,151179784,b'M. Scherbatsky',b'Mas nunca vou me acostumar a jogar o papel higienico na privada',"{'type': 'Point', 'coordinates': [4.88785524, 52.35170009]}"
b'Mon Dec 18 13:52:52 +0000 2017',9.42755E+17,166083825,b'Hans Moll \xd9\x86',b'Mijn eer wordt niet bedreigd door wat islamitische vrouwen zo angstvallig moeten bewaken https://t.co/xxIgY6cFei',"{'type': 'Point', 'coordinates': [4.89513, 52.3651]}"
b'Mon Dec 18 13:52:57 +0000 2017',9.42755E+17,69643042,b'Pinar',"b""I'm at Winkelcentrum Gelderlandplein in Amsterdam, North Holland https://t.co/2wD1dMd3L9""","{'type': 'Point', 'coordinates': [4.90425, 52.36793]}"
