date,tweetid,userid,username,text
b'Mon Dec 18 08:43:06 +0000 2017',9.43E+17,240713541,b'\xe2\x9a\x94\xef\xb8\x8f\xc4\xb1Y\xc4\xb1\xe2\x9a\x94\xef\xb8\x8f',b'\xd8\xa5\xd8\xaf\xd9\x85\xd8\xa7\xd9\x86 \xf0\x9f\x92\x89 https://t.co/G58MMcSVKc'
b'Mon Dec 18 08:43:07 +0000 2017',9.43E+17,1346663546,b'Acorn Exhibitions',b'Available now for rental - Nordic Pop-Up Stands for your business needs. Contact Acorn today for pricing and info.\xe2\x80\xa6 https://t.co/XCftbZ4AVP'
b'Mon Dec 18 08:43:09 +0000 2017',9.43E+17,7.13E+17,b'Liv',b'broken.'
b'Mon Dec 18 08:43:10 +0000 2017',9.43E+17,47062440,b'BB',b'Hollywood Teeth Whitening. \nGuaranteed results if minimum 5 shades lighter @ Bonbonsbeauty https://t.co/mDsGTGAA31'
b'Mon Dec 18 08:43:12 +0000 2017',9.43E+17,22190916,b'Sia D-W',b'It\xe2\x80\x99s the laaaaast working week of the yeaaarrr \xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb5'
b'Mon Dec 18 08:43:12 +0000 2017',9.43E+17,121246530,b'The Lyrical Cynic',"b'For those confused and in disbelief this time next week it will be Christmas day, 18 plus 7 equals 25. It is Decemb\xe2\x80\xa6 https://t.co/YG8Sb3JK4K'"
b'Mon Dec 18 08:43:13 +0000 2017',9.43E+17,417505144,b'Benguin \xf0\x9f\x90\xa7\xe2\x9d\x84\xef\xb8\x8f',b'Had a fun evening at #Winterville with raawrsomee; even if I did lose at Plonk Golf by a point\xe2\x80\xa6 https://t.co/h1qd1jPQnT'
b'Mon Dec 18 08:43:15 +0000 2017',9.43E+17,9.04E+17,b'John \xf0\x9f\x8c\x9f \xf0\x9f\x87\xac\xf0\x9f\x87\xa7',b'@julieo25 \xe2\x98\xba'
b'Mon Dec 18 08:43:16 +0000 2017',9.43E+17,116531702,b'MMM 007\xe2\x84\xa2',b'So @Se_Railway you pull up an empty train at Grove Park and then it goes on empty to London \xf0\x9f\x98\x9e\xf0\x9f\xa4\xaf'
b'Mon Dec 18 08:43:17 +0000 2017',9.43E+17,358648092,b'Chris Shoop-Worrall',b'@TheTotallyShow @acjimbo @ianirvingtv @iainmacintosh Is Dele Alli in trouble of losing his WC place? Disappointing\xe2\x80\xa6 https://t.co/Elo2I12Z2v'
b'Mon Dec 18 08:43:20 +0000 2017',9.43E+17,593741888,b'Liz Thomson',"b'Even with a Santa Rally, the FTSE 100 looks a sick man compared to others https://t.co/ICi196fED6 via @CityAM\xe2\x80\xa6 https://t.co/2MF5y2IzJj'"
b'Mon Dec 18 08:43:23 +0000 2017',9.43E+17,1828504213,b'Alex Mac',b'Great episode plus an  unexpected and very very very funny cat rap. https://t.co/3gZxR0l9zn'
b'Mon Dec 18 08:43:24 +0000 2017',9.43E+17,3341320083,b'The monia',b'@caroliza_ Depois de um shot essa \xc3\xa9 minha cara de felicidade \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 (sqn)'
b'Mon Dec 18 08:43:25 +0000 2017',9.43E+17,21136590,b'Carl Dempsey',b'A thing of beauty indeed https://t.co/ToEn9GxrZG'
b'Mon Dec 18 08:43:26 +0000 2017',9.43E+17,39470823,b'Kylie Bawden',"b""I'm talking about why December's Birchbox just missed the mark for me over on the blog. I don't\xe2\x80\xa6 https://t.co/g3tGgNLGbR"""
b'Mon Dec 18 08:43:28 +0000 2017',9.43E+17,122134465,b'Manick Govinda',b'So says the union that refused to support the @manifestoclub campaign against UK Home Office visa restrictions on n\xe2\x80\xa6 https://t.co/8JxjEXgwSb'
b'Mon Dec 18 08:43:29 +0000 2017',9.43E+17,351508160,b'davidweir',b'FUCK OFF BAYLISS YOU 2 BOB CUNT #ASHES'
b'Mon Dec 18 08:43:32 +0000 2017',9.43E+17,32514248,b'Aswad Choudhry',b'#London #LeicesterSquare  #xmasinlondon @ Christmas in Leicester Square https://t.co/DF7luLQQ4Y'
b'Mon Dec 18 08:43:32 +0000 2017',9.43E+17,303759184,b'Suraj Bhanot',b'\xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f https://t.co/q4mpNMNILa'
b'Mon Dec 18 08:43:33 +0000 2017',9.43E+17,7.49E+17,b'Sumac.and.Dates',"b'Festive Big Breakfast from Goldborne Deli - Scrambled Organic Eggs, crispy pancetta, homemade\xe2\x80\xa6 https://t.co/GMta0yZREc'"
b'Mon Dec 18 08:43:36 +0000 2017',9.43E+17,2842453143,b'Londres Pra Voce',b'J\xc3\xa1 viram o #BigBen escondidinho? Saiba mais sobre a reforma do \xc3\xadcone mais famose de #Londres :\xe2\x80\xa6 https://t.co/VG8dK274dP'
b'Mon Dec 18 08:43:40 +0000 2017',9.43E+17,15115659,b'Tiahowler Jon Von Biltaw\xc3\xbclf',b'@japster2008 Return to form.'
b'Mon Dec 18 08:43:42 +0000 2017',9.43E+17,7.31E+17,b'Callum',"b'""He\'s one of our own"" give me a break \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #cpfc https://t.co/2nqe1vvIX6'"
